Iowa DOT Case Number,Law Enforcement Case Number,Date of Crash,Month of Crash,Day of Week,Time of Crash,Hour,DOT District,City Name,County Name,Route with System,Location Description,First Harmful Event,Location of First Harmful Event,Manner of Crash/Collision,Major Cause,Drug or Alcohol ,Environmental Conditions,Light Conditions,Surface Conditions,Weather Conditions,Roadway Contribution,Roadway Type,Roadway Surface,Work Zone,Crash Severity,Number of Fatalities,Number of Injuries,Number of Major Injuries,Number of Minor Injuries,Number of Possible Injuries,Number of Unknown Injuries,Amount of Property Damage,Number of Vehicles Involved,Total Number of Occupants,Travel Direction,Location
2011640366,11-1299,04/28/2011,04-April,5-Thursday,18:25,1800 Hours,District 1 (Central),FORT DODGE,WEBSTER,,1ST AVE S & 1ST AVE S CONNECTOR,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Other (explain in narrative):  Other,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4500,2,3,N/A,POINT (-94.181693653494 42.505046971164)
2011628641,,04/29/2011,04-April,6-Friday,14:20,1400 Hours,District 4 (Southwest),SIDNEY,FREMONT,,ILLINOIS ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Improper Backing,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2000,2,2,N/A,POINT (-95.647290358661 40.747371149198)
2011629811,11-041794,04/30/2011,04-April,7-Saturday,06:50,0600 Hours,District 2 (Northeast),WATERLOO,BLACK HAWK,,Co Rd D35/E SCHROCK RD & HAMMOND AVE,Collision with:  Vehicle in traffic,Shoulder,Broadside (front to side),Ran Stop Sign,None Indicated,None apparent,Daylight,"Mud, dirt",Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,40000,2,2,N/A,POINT (-92.337843646143 42.399480776022)
2011628123,20110013047,04/30/2011,04-April,7-Saturday,22:27,2200 Hours,District 1 (Central),DES MOINES,POLK,,E 25TH ST,Collision with:  Parked motor vehicle,On Roadway,Rear-end (front to rear),Unknown,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2500,2,1,N/A,POINT (-93.570496876091 41.600032589472)
2011628260,W11-042591,05/02/2011,05-May,2-Monday,14:54,1400 Hours,District 2 (Northeast),WATERLOO,BLACK HAWK,,ANSBOROUGH AVE & W 4TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Traffic Signal,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,7500,2,2,N/A,POINT (-92.376679507717 42.472943755269)
2011629812,11042700,05/02/2011,05-May,2-Monday,20:32,2000 Hours,District 2 (Northeast),CEDAR FALLS,BLACK HAWK,,UNIVERSITY AVE & HUDSON RD,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  Making left turn,None Indicated,None apparent,Dark - roadway lighted,Dry,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,3000,2,3,N/A,POINT (-92.465573384495 42.506894523922)
2011628630,2011026076,05/03/2011,05-May,3-Tuesday,07:40,0700 Hours,District 1 (Central),,HARDIN,,Co Rd S21/DOGWOOD AVE/HARDIN ST & C AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  At uncontrolled intersection,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Unpaved,N/A,Fatal,1,1,0,1,0,0,12700,2,2,N/A,POINT (-93.439549867655 42.557559083559)
2011630249,,05/04/2011,05-May,4-Wednesday,09:12,0900 Hours,District 6 (East Central),IOWA CITY,JOHNSON,IA 1,IA 1/N DODGE ST & N DUBUQUE RD & N SCOTT BLVD,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Made improper turn,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2600,2,2,Southbound (SB),POINT (-91.50796558751 41.681320952227)
2011629316,,05/05/2011,05-May,5-Thursday,15:10,1500 Hours,District 6 (East Central),MONTICELLO,JONES,,,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Other (explain in narrative):  Other,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,N/A,N/A,Property Damage Only,0,0,0,0,0,0,3000,2,4,N/A,POINT (-96.643700150779 40.233091251088)
2011629459,,05/06/2011,05-May,6-Friday,15:33,1500 Hours,District 2 (Northeast),NEW HAMPTON,CHICKASAW,,W HAMILTON ST & S MAPLE AVE,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Lost Control,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,2000,2,4,N/A,POINT (-92.320406572714 43.057444296894)
2011628922,201106618,05/06/2011,05-May,6-Friday,09:22,0900 Hours,District 6 (East Central),CEDAR RAPIDS,LINN,IA 922,IA 922/1ST AVE E,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Lost Control,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Shared use path or trail,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1500,2,4,No Travel Direction Consistent with Route,POINT (-91.666866144133 41.97977354752)
2011629187,2011-201089,05/07/2011,05-May,7-Saturday,11:37,1100 Hours,District 6 (East Central),DAVENPORT,SCOTT,,IA 461/BRADY ST & E 31ST ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Unknown,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,7500,2,3,No Travel Direction Consistent with Route,POINT (-90.569819683582 41.551890636815)
2011630066,11-086,05/08/2011,05-May,1-Sunday,19:25,1900 Hours,District 4 (Southwest),,TAYLOR,,240TH ST,Non-collision events:  Overturn/rollover,Roadside,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,Glare,Daylight,"Mud, dirt",Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Unpaved,N/A,Major Injury,0,1,1,0,0,0,4500,1,1,N/A,POINT (-94.473608653045 40.697340800399)
2011629080,11-7192,05/09/2011,05-May,2-Monday,08:20,0800 Hours,District 3 (Northwest),,CLAY,,Co Rd M50/240 AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,8500,2,2,N/A,POINT (-95.111426607893 43.141515775255)
2011629644,11-017335,05/10/2011,05-May,3-Tuesday,16:59,1600 Hours,District 5 (Southeast),BURLINGTON,DES MOINES,,WEST AVE & W ROOSEVELT FRONTAGE & WELLSHIRE DR,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),FTYROW:  Other (explain in narrative),None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2000,2,4,N/A,POINT (-91.142961546098 40.800416992684)
2011635212,11-286,05/11/2011,05-May,4-Wednesday,16:36,1600 Hours,District 5 (Southeast),,WAYNE,IA 2,IA 2/IOWA 2,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Swerving/Evasive Action,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,31360,2,2,Eastbound (EB),POINT (-93.265274929239 40.753349997697)
2011630549,11-11477,05/12/2011,05-May,5-Thursday,16:11,1600 Hours,District 6 (East Central),BETTENDORF,SCOTT,,CLOVER HILLS DR,Collision with:  Parked motor vehicle,On Roadway,"Sideswipe, same direction",Lost Control,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,3000,2,1,N/A,POINT (-90.508816059517 41.557519315917)
2011630527,201106946,05/12/2011,05-May,5-Thursday,12:12,1200 Hours,District 6 (East Central),CEDAR RAPIDS,LINN,,GRANDE AVE SE & 19TH ST SE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Stop Sign,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Possible/Unknown,0,2,0,0,2,0,10000,2,4,N/A,POINT (-91.642738794098 41.987650605824)
2011630127,01-11-24812,05/13/2011,05-May,6-Friday,22:36,2200 Hours,District 6 (East Central),DUBUQUE,DUBUQUE,,UNIVERSITY AVE & GRANDVIEW AVE N,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  Other (explain in narrative),None Indicated,None apparent,Dark - roadway lighted,Dry,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,5500,2,2,N/A,POINT (-90.688118384386 42.498333890461)
2011630347,2011-202881,05/14/2011,05-May,7-Saturday,10:46,1000 Hours,District 6 (East Central),DAVENPORT,SCOTT,,ELMORE AVE,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Wet,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Driveway access (within),Paved,N/A,Possible/Unknown,0,2,0,0,2,0,3000,2,4,N/A,POINT (-90.528419098746 41.572343729357)
2011630978,20110014829,05/14/2011,05-May,7-Saturday,22:21,2200 Hours,District 1 (Central),DES MOINES,POLK,,WATSON POWELL JR WAY & 2ND AVE,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Made improper turn,None Indicated,None apparent,Dark - roadway lighted,Wet,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2000,2,6,N/A,POINT (-93.620292703627 41.589659570435)
2011632035,,05/15/2011,05-May,1-Sunday,20:29,2000 Hours,District 3 (Northwest),OKOBOJI,DICKINSON,,STAKE OUT RD,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Exceeded authorized speed,None Indicated,None apparent,Dusk,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Minor Injury,0,1,0,1,0,0,0,1,1,N/A,POINT (-95.122258471064 43.389644545635)
2011630690,C11001535,05/16/2011,05-May,2-Monday,13:30,1300 Hours,District 6 (East Central),CORALVILLE,JOHNSON,US 6,US 6/2ND ST & 4TH AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4000,2,2,Westbound (WB),POINT (-91.572075629935 41.670967023925)
2011630298,2011004637,05/17/2011,05-May,3-Tuesday,10:53,1000 Hours,District 1 (Central),MARSHALLTOWN,MARSHALL,,IOWA AVE W (OLD US 30) & IOWA AVE W (OLD US30),Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, opposite direction",Other (explain in narrative):  Other,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4600,2,2,N/A,POINT (-92.936841834015 42.007438117562)
2011631273,A11036,05/18/2011,05-May,4-Wednesday,17:45,1700 Hours,District 5 (Southeast),KNOXVILLE,MARION,,Co Rd T15/OLD HWY 92,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Crossed centerline (undivided),None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Minor Injury,0,1,0,1,0,0,7000,2,2,N/A,POINT (-93.038879491675 41.319181951738)
2011631483,20110015328,05/19/2011,05-May,5-Thursday,01:43,0100 Hours,District 1 (Central),DES MOINES,POLK,I-235,I-235,Collision with fixed object:  Curb/island/raised median,On Roadway,Non-collision (single vehicle),Crossed centerline (undivided),None Indicated,Unknown,Dark - roadway lighted,Dry,Clear,None apparent,Interchange-related:  On-ramp merge area,Paved,N/A,Property Damage Only,0,0,0,0,0,0,5500,1,1,Ramp,POINT (-93.583642231428 41.600651156965)
2011631021,11-016830,05/20/2011,05-May,6-Friday,17:00,1700 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,I-29,I-29,Collision with:  Vehicle in traffic,Shoulder,Unknown,Improper or erratic lane changing,None Indicated,Weather conditions,Daylight,Wet,Rain,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,500,2,2,Southbound (SB),POINT (-95.901357096848 41.271559389414)
2011631473,11-002279,05/20/2011,05-May,6-Friday,17:05,1700 Hours,District 1 (Central),ANKENY,POLK,,SE TONES DR,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  At uncontrolled intersection,None Indicated,None apparent,Daylight,Wet,Clear,None apparent,Non-intersection:  Driveway access (within),Paved,N/A,Minor Injury,0,1,0,1,0,0,4000,2,2,N/A,POINT (-93.572736332009 41.705270130115)
2011631155,J11000491,05/21/2011,05-May,7-Saturday,16:06,1600 Hours,District 6 (East Central),,JOHNSON,,Co Rd W64/OAK CREST HILL RD SE,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",FTYROW:  Other (explain in narrative),None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Minor Injury,0,1,0,1,0,0,12500,2,2,N/A,POINT (-91.544741865845 41.620509837935)
2011630968,20110015734,05/22/2011,05-May,1-Sunday,03:27,0300 Hours,District 1 (Central),DES MOINES,POLK,,MAPLE ST,Collision with:  Parked motor vehicle,On Roadway,"Sideswipe, same direction",Other (explain in narrative):  Other,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4000,2,4,N/A,POINT (-93.580452202329 41.598190315787)
2011667199,2011-0752,05/23/2011,05-May,2-Monday,10:13,1000 Hours,District 5 (Southeast),,WARREN,US 65,US 65,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Other (explain in narrative):  Other,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Possible/Unknown,0,2,0,0,0,2,4000,2,2,No Travel Direction Consistent with Route,POINT (-93.558584854525 41.440192253825)
2011631191,11-2350,05/23/2011,05-May,2-Monday,13:09,1300 Hours,District 1 (Central),WEST DES MOINES,POLK,,PLEASANT ST & 50TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From driveway,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Driveway access (within),Paved,N/A,Property Damage Only,0,0,0,0,0,0,4500,2,2,N/A,POINT (-93.771131198983 41.590800449091)
2011631236,CL11001917,05/24/2011,05-May,3-Tuesday,11:28,1100 Hours,District 6 (East Central),CLINTON,CLINTON,US 67,US 67/S 2ND ST & 3RD AVE S,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Traffic Signal,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Minor Injury,0,1,0,1,0,0,8000,2,2,Northbound (NB),POINT (-90.188260666583 41.84342617972)
2011634115,03206011,05/25/2011,05-May,4-Wednesday,11:38,1100 Hours,District 3 (Northwest),ESTHERVILLE,EMMET,,S 7TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From parked position,None Indicated,None apparent,Daylight,Wet,Rain,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1500,2,2,N/A,POINT (-94.835344974246 43.401778193716)
2011632195,11-17726,05/26/2011,05-May,5-Thursday,18:11,1800 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,,11TH ST & HELEN ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  At uncontrolled intersection,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Possible/Unknown,0,1,0,0,0,1,3700,2,2,N/A,POINT (-96.370173079436 42.501865823255)
2011631759,11051161,05/26/2011,05-May,5-Thursday,16:23,1600 Hours,District 2 (Northeast),CEDAR FALLS,BLACK HAWK,,CADILLAC DR & SCENIC DR,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Stop Sign,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,5500,2,2,N/A,POINT (-92.407537200297 42.50960813)
2011632602,,05/27/2011,05-May,6-Friday,12:45,1200 Hours,District 5 (Southeast),,WASHINGTON,US 218,US 218,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,N/A,Dark - roadway not lighted,Dry,Clear,N/A,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2500,1,2,Unknown - Not Indicated - Unlocated,POINT (-91.551163562889 41.430352849465)
2011631913,20110016496,05/28/2011,05-May,7-Saturday,06:20,0600 Hours,District 1 (Central),DES MOINES,POLK,US 6,US 6/FREDERICK M HUBBELL AVE,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Other (explain in narrative):  Other,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,3000,2,2,Westbound (WB),POINT (-93.542597863771 41.630170713169)
2011633106,2011-0882,05/29/2011,05-May,1-Sunday,21:17,2100 Hours,District 1 (Central),JEFFERSON,GREENE,US 30,US 30/220TH,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,None apparent,Dark - roadway not lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4000,1,1,Eastbound (EB),POINT (-94.339726380823 42.034536729319)
2011640953,11-0354,05/30/2011,05-May,2-Monday,22:24,2200 Hours,District 1 (Central),FORT DODGE,WEBSTER,US 169,US 169,Collision with:  Animal,N/A,N/A,Animal,None Indicated,N/A,N/A,N/A,N/A,N/A,N/A,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2000,1,1,Southbound (SB),POINT (-94.19910777308 42.467312195198)
2011652719,,05/31/2011,05-May,3-Tuesday,13:53,1300 Hours,District 1 (Central),BOONE,BOONE,,W MAMIE EISENHOWER AVE & S MCPHERSON ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2300,2,7,N/A,POINT (-93.898067241555 42.059314369979)
2011632954,11-12836,05/31/2011,05-May,3-Tuesday,14:50,1400 Hours,District 6 (East Central),BETTENDORF,SCOTT,I-80,I-80,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Other (explain in narrative):  Other,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,11000,3,3,Eastbound (EB),POINT (-90.474466179543 41.596820445426)
2011633141,201108002,06/01/2011,06-June,4-Wednesday,07:51,0700 Hours,District 6 (East Central),CEDAR RAPIDS,LINN,,MT VERNON RD SE,Collision with:  Vehicle in traffic,On Roadway,Head-on (front to front),FTYROW:  Making left turn,None Indicated,Glare,Daylight,Dry,Clear,None apparent,Non-intersection:  Driveway access (within),Paved,N/A,Possible/Unknown,0,1,0,0,1,0,3700,2,2,N/A,POINT (-91.643467068967 41.977229775067)
2011632583,11-6721,06/02/2011,06-June,5-Thursday,17:34,1700 Hours,District 3 (Northwest),,SIOUX,US 18,US 18/310TH ST & Co Rd K24/DOVE AVE,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driver Distraction:  Manual operation of an electronic communication device,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2500,2,2,Westbound (WB),POINT (-96.333685938496 43.1997935887)
2011632513,11-00016980,06/02/2011,06-June,5-Thursday,18:51,1800 Hours,District 6 (East Central),,SCOTT,,162 AVE,Non-collision events:  Overturn/rollover,Roadside,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Unpaved,N/A,Possible/Unknown,0,1,0,0,1,0,4000,1,2,N/A,POINT (-90.582967734967 41.730231101534)
2011633216,2011-208385,06/03/2011,06-June,6-Friday,21:25,2100 Hours,District 6 (East Central),DAVENPORT,SCOTT,,IA 461/W RIVER DR,Collision with:  Animal,N/A,N/A,Animal,None Indicated,N/A,N/A,N/A,N/A,N/A,N/A,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1500,1,777,Unknown - Not Indicated - Unlocated,POINT (-90.668401240364 41.509125639258)
2011632510,11-018719,06/03/2011,06-June,6-Friday,00:17,0000 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,US 6,US 6/W BROADWAY & S 8TH ST & N 8TH ST,Collision with:  Vehicle in traffic,On Roadway,"Angle, oncoming left turn",Ran Traffic Signal,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,Work Zone (roadway-related),Intersection:  Four-way intersection,Paved,Yes,Property Damage Only,0,0,0,0,0,0,2100,2,3,Both East and West,POINT (-95.856049604206 41.261876588089)
2011633297,11-004323,06/04/2011,06-June,7-Saturday,11:25,1100 Hours,District 6 (East Central),INDEPENDENCE,BUCHANAN,IA 150,IA 150/1ST ST E & 4TH AVE SE & 4TH AVE NE,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Other (explain in narrative):  Other,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2000,2,2,No Travel Direction Consistent with Route,POINT (-91.890089704404 42.468715079455)
2011633438,11-55008,06/05/2011,06-June,1-Sunday,02:45,0200 Hours,District 2 (Northeast),WATERLOO,BLACK HAWK,US 63,US 63/SE RAMP CURV & W 5TH ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Improper or erratic lane changing,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Intersection:  Other intersection (explain in narrative),Paved,N/A,Property Damage Only,0,0,0,0,0,0,3000,2,4,Ramp,POINT (-92.341516468751 42.492055680526)
2011634893,11004392,06/06/2011,06-June,2-Monday,20:26,2000 Hours,District 6 (East Central),,BUCHANAN,IA 150,IA 150/JACKSON AVE,Collision with:  Animal,N/A,N/A,Animal,None Indicated,N/A,N/A,N/A,N/A,N/A,N/A,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4500,1,777,Unknown - Not Indicated - Unlocated,POINT (-91.904630288052 42.586226152116)
2011635028,11-19318,06/07/2011,06-June,3-Tuesday,10:13,1000 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,IA 12,IA 12/GORDON DR & S PALMETTO ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Made improper turn,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,6800,2,3,No Travel Direction Consistent with Route,POINT (-96.345775448162 42.4758920449)
2011637978,,06/07/2011,06-June,3-Tuesday,16:24,1600 Hours,District 1 (Central),DES MOINES,POLK,,E UNIVERSITY AVE & PENNSYLVANIA AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Traffic Signal,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4500,2,3,N/A,POINT (-93.608863543393 41.600385241686)
2011634724,11-2768,06/08/2011,06-June,4-Wednesday,19:42,1900 Hours,District 6 (East Central),HIAWATHA,LINN,,BOYSON RD,Non-collision events:  Overturn/rollover,On Roadway,Non-collision (single vehicle),Other (explain in narrative):  No improper action,None Indicated,Weather conditions,Dark - roadway not lighted,Wet,Severe winds,None apparent,Non-intersection:  Other non-intersection (explain in narrative),Paved,N/A,Property Damage Only,0,0,0,0,0,0,3000,1,1,N/A,POINT (-91.684228319199 42.045747593054)
2011634777,11-0643,06/09/2011,06-June,5-Thursday,12:15,1200 Hours,District 1 (Central),PLEASANT HILL,POLK,,N HICKORY BLVD CONN,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Other (explain in narrative):  Other,None Indicated,Unknown,Daylight,Wet,Rain,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2100,2,3,N/A,POINT (-93.516682061813 41.600575270981)
2011633633,11011332,06/10/2011,06-June,6-Friday,14:45,1400 Hours,District 2 (Northeast),MASON CITY,CERRO GORDO,IA 122,IA 122/5TH ST SW & S JEFFERSON AVE,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Crossed centerline (undivided),None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Intersection:  Other intersection (explain in narrative),Paved,N/A,Property Damage Only,0,0,0,0,0,0,1900,2,2,Westbound (WB),POINT (-93.20591907769 43.147218968078)
2011635266,,06/10/2011,06-June,6-Friday,14:09,1400 Hours,District 1 (Central),DES MOINES,POLK,,E 29TH ST,Collision with:  Parked motor vehicle,On Roadway,Unknown,Unknown,None Indicated,Unknown,Daylight,Unknown,Rain,Unknown,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1500,2,1,N/A,POINT (-93.561212196897 41.628090751721)
2011634089,11-004520,06/11/2011,06-June,7-Saturday,20:52,2000 Hours,District 6 (East Central),INDEPENDENCE,BUCHANAN,,2ND ST NE & 2ND AVE NE,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Dusk,Dry,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Minor Injury,0,1,0,1,0,0,10000,2,2,N/A,POINT (-91.893269623774 42.469808513265)
2011635851,C11001843,06/12/2011,06-June,1-Sunday,11:42,1100 Hours,District 6 (East Central),CORALVILLE,JOHNSON,US 6,US 6/2ND ST & 1ST AVE,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Other (explain in narrative):  Other,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Five points or more,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,1500,2,2,Westbound (WB),POINT (-91.565727676581 41.669041563202)
2011633934,CL11002212,06/13/2011,06-June,2-Monday,14:56,1400 Hours,District 6 (East Central),CLINTON,CLINTON,US 67,US 67/7TH AVE S/S 4TH ST,Collision with:  Non-motorist (see non-motorist section - NOT a unit),On Roadway,Non-collision (single vehicle),Other (explain in narrative):  No improper action,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,1500,1,1,Southbound (SB),POINT (-90.193249565998 41.838955382347)
