Year,FIPS County Code,County Name,DHS Service Area,Judicial District,Abuse Type,Occurences,County Primary Point
2019,19131,Mitchell,2-Northern,2-Second JD,Dangerous Substance,7,POINT (-92.7890315 43.3564124)
2019,19193,Woodbury,1-Western,3-Third JD,Child Sex Trafficking,2,POINT (-96.0447673 42.3897169)
2019,19037,Chickasaw,2-Northern,1-First JD,Physical Abuse,5,POINT (-92.3176637 43.0600414)
2019,19115,Louisa,3-Eastern,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),5,POINT (-91.2596184 41.2185073)
2019,19051,Davis,4-Cedar Rapids,8-Eigth JD,Physical Abuse,4,POINT (-92.4097173 40.7476891)
2019,19077,Guthrie,1-Western,5-FifthJD,Dangerous Substance,28,POINT (-94.501055 41.6837548)
2019,19033,Cerro Gordo,2-Northern,2-Second JD,Mental Injury,2,POINT (-93.2608184 43.0815577)
2019,19173,Taylor,1-Western,5-FifthJD,Dangerous Substance,13,POINT (-94.6964148 40.7374324)
2019,19187,Webster,2-Northern,2-Second JD,Dangerous Substance,123,POINT (-94.1817881 42.4279662)
2019,19025,Calhoun,2-Northern,2-Second JD,Sexual Abuse,4,POINT (-94.6404136 42.3851848)
2019,19087,Henry,3-Eastern,8-Eigth JD,Denial of Critical Care (Neglect),108,POINT (-91.5445241 40.9879383)
2019,19091,Humboldt,2-Northern,2-Second JD,Physical Abuse,4,POINT (-94.2071868 42.7764686)
2019,19057,Des Moines,3-Eastern,8-Eigth JD,Dangerous Substance,85,POINT (-91.1814707 40.9231829)
2019,19071,Fremont,1-Western,4-FourthJD,Physical Abuse,3,POINT (-95.6046765 40.7455892)
2019,19039,Clarke,5-Des Moines,5-FifthJD,Physical Abuse,8,POINT (-93.7851579 41.0290323)
2019,19117,Lucas,5-Des Moines,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),7,POINT (-93.3277207 41.0293738)
2019,19163,Scott,3-Eastern,7-Seventh JD,Prostitution of a Child,1,POINT (-90.6232428 41.6370978)
2019,19187,Webster,2-Northern,2-Second JD,Denial of Critical Care (Neglect),126,POINT (-94.1817881 42.4279662)
2019,19047,Crawford,1-Western,3-Third JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-95.3819678 42.0372125)
2019,19141,OBrien,1-Western,3-Third JD,Sexual Abuse,2,POINT (-95.6248784 43.0837527)
2019,19101,Jefferson,4-Cedar Rapids,8-Eigth JD,Physical Abuse,15,POINT (-91.9488774 41.0317596)
2019,19163,Scott,3-Eastern,7-Seventh JD,Allows Access by Registered Sex Offender,3,POINT (-90.6232428 41.6370978)
2019,19081,Hancock,2-Northern,2-Second JD,Dangerous Substance,9,POINT (-93.7342723 43.0818861)
2019,19141,OBrien,1-Western,3-Third JD,Allows Access by Registered Sex Offender,4,POINT (-95.6248784 43.0837527)
2019,19111,Lee,3-Eastern,8-Eigth JD,Denial of Critical Care (Neglect),208,POINT (-91.479264 40.6419764)
2019,19049,Dallas,5-Des Moines,5-FifthJD,Physical Abuse,21,POINT (-94.0397374 41.6848862)
2019,19107,Keokuk,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-92.1786426 41.336465)
2019,19081,Hancock,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),1,POINT (-93.7342723 43.0818861)
2019,19001,Adair,5-Des Moines,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),4,POINT (-94.4709413 41.3307464)
2019,19097,Jackson,3-Eastern,7-Seventh JD,Presence of Illegal Drugs in Child's System (PID),9,POINT (-90.5742294 42.1717426)
2019,19181,Warren,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),150,POINT (-93.5613594 41.3343735)
2019,19155,Pottawattamie,1-Western,4-FourthJD,Mental Injury,2,POINT (-95.5423935 41.3366123)
2019,19153,Polk,5-Des Moines,5-FifthJD,Mental Injury,9,POINT (-93.5735335 41.6855048)
2019,19087,Henry,3-Eastern,8-Eigth JD,Physical Abuse,12,POINT (-91.5445241 40.9879383)
2019,19029,Cass,1-Western,4-FourthJD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-94.9278266 41.3314876)
2019,19061,Dubuque,3-Eastern,1-First JD,Child Sex Trafficking,1,POINT (-90.8824564 42.468832)
2019,19015,Boone,5-Des Moines,2-Second JD,Child Sex Trafficking,2,POINT (-93.931671 42.0365493)
2019,19169,Story,5-Des Moines,2-Second JD,Dangerous Substance,44,POINT (-93.4650448 42.0362415)
2019,19175,Union,5-Des Moines,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),2,POINT (-94.2423792 41.0277304)
2019,19151,Pocahontas,2-Northern,2-Second JD,Sexual Abuse,1,POINT (-94.6787466 42.7341351)
2019,19059,Dickinson,1-Western,3-Third JD,Denial of Critical Care (Neglect),42,POINT (-95.1508301 43.3779848)
2019,19191,Winneshiek,2-Northern,1-First JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-91.8437074 43.2906746)
2019,19197,Wright,2-Northern,2-Second JD,Physical Abuse,1,POINT (-93.7351465 42.7331189)
2019,19133,Monona,1-Western,3-Third JD,Physical Abuse,4,POINT (-95.9599235 42.0516663)
2019,19093,Ida,1-Western,3-Third JD,Denial of Critical Care (Neglect),15,POINT (-95.5134962 42.3868747)
2019,19075,Grundy,2-Northern,1-First JD,Denial of Critical Care (Neglect),29,POINT (-92.7914177 42.4018651)
2019,19175,Union,5-Des Moines,5-FifthJD,Dangerous Substance,36,POINT (-94.2423792 41.0277304)
2019,19041,Clay,1-Western,3-Third JD,Denial of Critical Care (Neglect),50,POINT (-95.1509194 43.0825804)
2019,19185,Wayne,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),47,POINT (-93.3273639 40.7394702)
2019,19121,Madison,5-Des Moines,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),5,POINT (-94.0155619 41.3307142)
2019,19045,Clinton,3-Eastern,7-Seventh JD,Denial of Critical Care (Neglect),269,POINT (-90.5319724 41.8980358)
2019,19127,Marshall,2-Northern,2-Second JD,Allows Access by Registered Sex Offender,3,POINT (-92.9987706 42.0358499)
2019,19163,Scott,3-Eastern,7-Seventh JD,Denial of Critical Care (Neglect),614,POINT (-90.6232428 41.6370978)
2019,19069,Franklin,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-93.262473 42.7325458)
2019,19053,Decatur,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),55,POINT (-93.7862815 40.7376827)
2019,19019,Buchanan,2-Northern,1-First JD,Physical Abuse,13,POINT (-91.8378392 42.4707777)
2019,19189,Winnebago,2-Northern,2-Second JD,Dangerous Substance,11,POINT (-93.7341955 43.3775678)
2019,19025,Calhoun,2-Northern,2-Second JD,Denial of Critical Care (Neglect),45,POINT (-94.6404136 42.3851848)
2019,19105,Jones,4-Cedar Rapids,6-SixthJD,Sexual Abuse,2,POINT (-91.1314352 42.1212397)
2019,19009,Audubon,1-Western,4-FourthJD,Denial of Critical Care (Neglect),24,POINT (-94.9058222 41.6845893)
2019,19103,Johnson,4-Cedar Rapids,6-SixthJD,Allows Access to Obscene Materials,2,POINT (-91.5880849 41.6715511)
2019,19055,Delaware,2-Northern,1-First JD,Denial of Critical Care (Neglect),31,POINT (-91.3673502 42.471211)
2019,19147,Palo Alto,1-Western,3-Third JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-94.6781371 43.0820643)
2019,19035,Cherokee,1-Western,3-Third JD,Dangerous Substance,32,POINT (-95.6238055 42.7356226)
2019,19117,Lucas,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),26,POINT (-93.3277207 41.0293738)
2019,19145,Page,1-Western,4-FourthJD,Presence of Illegal Drugs in Child's System (PID),4,POINT (-95.1501747 40.7391444)
2019,19095,Iowa,4-Cedar Rapids,6-SixthJD,Sexual Abuse,4,POINT (-92.065524 41.6863229)
2019,19113,Linn,4-Cedar Rapids,6-SixthJD,Allows Access by Registered Sex Offender,1,POINT (-91.5989646 42.0789478)
2019,19021,Buena Vista,1-Western,3-Third JD,Allows Access to Obscene Materials,1,POINT (-95.151149 42.7354936)
2019,19027,Carroll,1-Western,2-Second JD,Allows Access by Registered Sex Offender,6,POINT (-94.8605593 42.0362382)
2019,19071,Fremont,1-Western,4-FourthJD,Presence of Illegal Drugs in Child's System (PID),1,POINT (-95.6046765 40.7455892)
2019,19063,Emmet,1-Western,3-Third JD,Presence of Illegal Drugs in Child's System (PID),1,POINT (-94.6784803 43.3780225)
2019,19065,Fayette,2-Northern,1-First JD,Physical Abuse,8,POINT (-91.8443207 42.8625919)
2019,19117,Lucas,5-Des Moines,5-FifthJD,Sexual Abuse,2,POINT (-93.3277207 41.0293738)
2019,19155,Pottawattamie,1-Western,4-FourthJD,Prostitution of a Child,1,POINT (-95.5423935 41.3366123)
2019,19007,Appanoose,4-Cedar Rapids,8-Eigth JD,Sexual Abuse,5,POINT (-92.8686104 40.7431635)
2019,19131,Mitchell,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),1,POINT (-92.7890315 43.3564124)
2019,19179,Wapello,4-Cedar Rapids,8-Eigth JD,Sexual Abuse,13,POINT (-92.4094499 41.0305845)
2019,19163,Scott,3-Eastern,7-Seventh JD,Sexual Abuse,51,POINT (-90.6232428 41.6370978)
2019,19047,Crawford,1-Western,3-Third JD,Dangerous Substance,17,POINT (-95.3819678 42.0372125)
2019,19121,Madison,5-Des Moines,5-FifthJD,Allows Access to Obscene Materials,1,POINT (-94.0155619 41.3307142)
2019,19167,Sioux,1-Western,3-Third JD,Physical Abuse,11,POINT (-96.1778827 43.0826174)
2019,19127,Marshall,2-Northern,2-Second JD,Physical Abuse,47,POINT (-92.9987706 42.0358499)
2019,19195,Worth,2-Northern,2-Second JD,Physical Abuse,3,POINT (-93.2608476 43.3773984)
2019,19013,Black Hawk,2-Northern,1-First JD,Physical Abuse,46,POINT (-92.3088197 42.4700957)
2019,19119,Lyon,1-Western,3-Third JD,Sexual Abuse,5,POINT (-96.2102924 43.380497)
2019,19057,Des Moines,3-Eastern,8-Eigth JD,Allows Access by Registered Sex Offender,12,POINT (-91.1814707 40.9231829)
2019,19005,Allamakee,2-Northern,1-First JD,Sexual Abuse,4,POINT (-91.3780923 43.2842838)
2019,19027,Carroll,1-Western,2-Second JD,Presence of Illegal Drugs in Child's System (PID),10,POINT (-94.8605593 42.0362382)
2019,19063,Emmet,1-Western,3-Third JD,Denial of Critical Care (Neglect),53,POINT (-94.6784803 43.3780225)
2019,19137,Montgomery,1-Western,4-FourthJD,Physical Abuse,2,POINT (-95.1563758 41.03014)
2019,19113,Linn,4-Cedar Rapids,6-SixthJD,Dangerous Substance,242,POINT (-91.5989646 42.0789478)
2019,19157,Poweshiek,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-92.5314684 41.6864422)
2019,19053,Decatur,5-Des Moines,5-FifthJD,Allows Access to Obscene Materials,4,POINT (-93.7862815 40.7376827)
2019,19179,Wapello,4-Cedar Rapids,8-Eigth JD,Allows Access by Registered Sex Offender,1,POINT (-92.4094499 41.0305845)
2019,19017,Bremer,2-Northern,2-Second JD,Physical Abuse,10,POINT (-92.3180548 42.7745873)
2019,19091,Humboldt,2-Northern,2-Second JD,Denial of Critical Care (Neglect),21,POINT (-94.2071868 42.7764686)
2019,19165,Shelby,1-Western,4-FourthJD,Denial of Critical Care (Neglect),21,POINT (-95.3102113 41.6850926)
2019,19083,Hardin,2-Northern,2-Second JD,Sexual Abuse,5,POINT (-93.2404025 42.3838803)
2019,19159,Ringgold,5-Des Moines,5-FifthJD,Physical Abuse,7,POINT (-94.2439719 40.7352023)
2019,19035,Cherokee,1-Western,3-Third JD,Sexual Abuse,4,POINT (-95.6238055 42.7356226)
2019,19129,Mills,1-Western,4-FourthJD,Denial of Critical Care (Neglect),42,POINT (-95.6213267 41.0334523)
2019,19193,Woodbury,1-Western,3-Third JD,Physical Abuse,69,POINT (-96.0447673 42.3897169)
2019,19033,Cerro Gordo,2-Northern,2-Second JD,Allows Access by Registered Sex Offender,6,POINT (-93.2608184 43.0815577)
2019,19171,Tama,4-Cedar Rapids,6-SixthJD,Sexual Abuse,7,POINT (-92.5325425 42.0798117)
2019,19073,Greene,1-Western,2-Second JD,Denial of Critical Care (Neglect),45,POINT (-94.3968356 42.0362394)
2019,19187,Webster,2-Northern,2-Second JD,Sexual Abuse,8,POINT (-94.1817881 42.4279662)
2019,19177,Van Buren,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),1,POINT (-91.9499871 40.7532294)
2019,19079,Hamilton,2-Northern,2-Second JD,Dangerous Substance,24,POINT (-93.7068085 42.3837722)
2019,19037,Chickasaw,2-Northern,1-First JD,Presence of Illegal Drugs in Child's System (PID),1,POINT (-92.3176637 43.0600414)
2019,19131,Mitchell,2-Northern,2-Second JD,Denial of Critical Care (Neglect),12,POINT (-92.7890315 43.3564124)
2019,19185,Wayne,5-Des Moines,5-FifthJD,Physical Abuse,6,POINT (-93.3273639 40.7394702)
2019,19113,Linn,4-Cedar Rapids,6-SixthJD,Sexual Abuse,38,POINT (-91.5989646 42.0789478)
2019,19015,Boone,5-Des Moines,2-Second JD,Sexual Abuse,7,POINT (-93.931671 42.0365493)
2019,19111,Lee,3-Eastern,8-Eigth JD,Allows Access by Registered Sex Offender,2,POINT (-91.479264 40.6419764)
2019,19013,Black Hawk,2-Northern,1-First JD,Allows Access by Registered Sex Offender,18,POINT (-92.3088197 42.4700957)
2019,19093,Ida,1-Western,3-Third JD,Sexual Abuse,3,POINT (-95.5134962 42.3868747)
2019,19057,Des Moines,3-Eastern,8-Eigth JD,Physical Abuse,18,POINT (-91.1814707 40.9231829)
2019,19125,Marion,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),54,POINT (-93.0994367 41.3344515)
2019,19139,Muscatine,3-Eastern,7-Seventh JD,Denial of Critical Care (Neglect),200,POINT (-91.1127562 41.4839221)
2019,19067,Floyd,2-Northern,2-Second JD,Dangerous Substance,19,POINT (-92.7890033 43.0599208)
2019,19021,Buena Vista,1-Western,3-Third JD,Sexual Abuse,5,POINT (-95.151149 42.7354936)
2019,19041,Clay,1-Western,3-Third JD,Presence of Illegal Drugs in Child's System (PID),7,POINT (-95.1509194 43.0825804)
2019,19143,Osceola,1-Western,3-Third JD,Dangerous Substance,3,POINT (-95.6236852 43.3785704)
2019,19061,Dubuque,3-Eastern,1-First JD,Presence of Illegal Drugs in Child's System (PID),71,POINT (-90.8824564 42.468832)
2019,19051,Davis,4-Cedar Rapids,8-Eigth JD,Denial of Critical Care (Neglect),10,POINT (-92.4097173 40.7476891)
2019,19149,Plymouth,1-Western,3-Third JD,Physical Abuse,7,POINT (-96.2140431 42.7378346)
2019,19011,Benton,4-Cedar Rapids,6-SixthJD,Physical Abuse,13,POINT (-92.0656912 42.0801864)
2019,19005,Allamakee,2-Northern,1-First JD,Dangerous Substance,8,POINT (-91.3780923 43.2842838)
2019,19029,Cass,1-Western,4-FourthJD,Bestiality in the Presence of a Minor,1,POINT (-94.9278266 41.3314876)
2019,19105,Jones,4-Cedar Rapids,6-SixthJD,Child Sex Trafficking,1,POINT (-91.1314352 42.1212397)
2019,19043,Clayton,2-Northern,1-First JD,Presence of Illegal Drugs in Child's System (PID),2,POINT (-91.3414328 42.8447493)
2019,19023,Butler,2-Northern,2-Second JD,Denial of Critical Care (Neglect),28,POINT (-92.7901934 42.7315661)
2019,19135,Monroe,4-Cedar Rapids,8-Eigth JD,Dangerous Substance,19,POINT (-92.8689877 41.0297826)
2019,19085,Harrison,1-Western,4-FourthJD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-95.8169209 41.6828528)
2019,19089,Howard,2-Northern,1-First JD,Physical Abuse,4,POINT (-92.3171989 43.3567673)
2019,19153,Polk,5-Des Moines,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),213,POINT (-93.5735335 41.6855048)
2019,19183,Washington,4-Cedar Rapids,8-Eigth JD,Dangerous Substance,21,POINT (-91.7178676 41.335591)
2019,19075,Grundy,2-Northern,1-First JD,Allows Access to Obscene Materials,1,POINT (-92.7914177 42.4018651)
2019,19171,Tama,4-Cedar Rapids,6-SixthJD,Dangerous Substance,78,POINT (-92.5325425 42.0798117)
2019,19099,Jasper,4-Cedar Rapids,5-FifthJD,Physical Abuse,13,POINT (-93.053765 41.6860394)
2019,19137,Montgomery,1-Western,4-FourthJD,Allows Access to Obscene Materials,1,POINT (-95.1563758 41.03014)
2019,19123,Mahaska,4-Cedar Rapids,8-Eigth JD,Mental Injury,1,POINT (-92.6409094 41.3352035)
2019,19197,Wright,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),5,POINT (-93.7351465 42.7331189)
2019,19193,Woodbury,1-Western,3-Third JD,Dangerous Substance,336,POINT (-96.0447673 42.3897169)
2019,19031,Cedar,3-Eastern,7-Seventh JD,Dangerous Substance,36,POINT (-91.1324125 41.7723207)
2019,19077,Guthrie,1-Western,5-FifthJD,Denial of Critical Care (Neglect),38,POINT (-94.501055 41.6837548)
2019,19103,Johnson,4-Cedar Rapids,6-SixthJD,Physical Abuse,25,POINT (-91.5880849 41.6715511)
2019,19055,Delaware,2-Northern,1-First JD,Physical Abuse,3,POINT (-91.3673502 42.471211)
2019,19107,Keokuk,4-Cedar Rapids,8-Eigth JD,Sexual Abuse,1,POINT (-92.1786426 41.336465)
2019,19157,Poweshiek,4-Cedar Rapids,8-Eigth JD,Sexual Abuse,11,POINT (-92.5314684 41.6864422)
2019,19113,Linn,4-Cedar Rapids,6-SixthJD,Denial of Critical Care (Neglect),581,POINT (-91.5989646 42.0789478)
2019,19153,Polk,5-Des Moines,5-FifthJD,Physical Abuse,183,POINT (-93.5735335 41.6855048)
2019,19145,Page,1-Western,4-FourthJD,Sexual Abuse,5,POINT (-95.1501747 40.7391444)
2019,19015,Boone,5-Des Moines,2-Second JD,Dangerous Substance,37,POINT (-93.931671 42.0365493)
2019,19061,Dubuque,3-Eastern,1-First JD,Dangerous Substance,118,POINT (-90.8824564 42.468832)
2019,19095,Iowa,4-Cedar Rapids,6-SixthJD,Presence of Illegal Drugs in Child's System (PID),6,POINT (-92.065524 41.6863229)
2019,19053,Decatur,5-Des Moines,5-FifthJD,Physical Abuse,1,POINT (-93.7862815 40.7376827)
2019,19013,Black Hawk,2-Northern,1-First JD,Mental Injury,1,POINT (-92.3088197 42.4700957)
2019,19021,Buena Vista,1-Western,3-Third JD,Dangerous Substance,41,POINT (-95.151149 42.7354936)
2019,19145,Page,1-Western,4-FourthJD,Allows Access to Obscene Materials,3,POINT (-95.1501747 40.7391444)
2019,19067,Floyd,2-Northern,2-Second JD,Sexual Abuse,5,POINT (-92.7890033 43.0599208)
2019,19065,Fayette,2-Northern,1-First JD,Presence of Illegal Drugs in Child's System (PID),5,POINT (-91.8443207 42.8625919)
2019,19009,Audubon,1-Western,4-FourthJD,Physical Abuse,2,POINT (-94.9058222 41.6845893)
2019,19151,Pocahontas,2-Northern,2-Second JD,Dangerous Substance,13,POINT (-94.6787466 42.7341351)
2019,19099,Jasper,4-Cedar Rapids,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),7,POINT (-93.053765 41.6860394)
2019,19133,Monona,1-Western,3-Third JD,Denial of Critical Care (Neglect),12,POINT (-95.9599235 42.0516663)
2019,19111,Lee,3-Eastern,8-Eigth JD,Dangerous Substance,150,POINT (-91.479264 40.6419764)
2019,19075,Grundy,2-Northern,1-First JD,Physical Abuse,5,POINT (-92.7914177 42.4018651)
2019,19117,Lucas,5-Des Moines,5-FifthJD,Dangerous Substance,15,POINT (-93.3277207 41.0293738)
2019,19039,Clarke,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),114,POINT (-93.7851579 41.0290323)
2019,19087,Henry,3-Eastern,8-Eigth JD,Dangerous Substance,60,POINT (-91.5445241 40.9879383)
2019,19087,Henry,3-Eastern,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),6,POINT (-91.5445241 40.9879383)
2019,19003,Adams,5-Des Moines,5-FifthJD,Dangerous Substance,8,POINT (-94.6991849 41.0289839)
2019,19105,Jones,4-Cedar Rapids,6-SixthJD,Presence of Illegal Drugs in Child's System (PID),10,POINT (-91.1314352 42.1212397)
2019,19045,Clinton,3-Eastern,7-Seventh JD,Sexual Abuse,18,POINT (-90.5319724 41.8980358)
2019,19049,Dallas,5-Des Moines,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),4,POINT (-94.0397374 41.6848862)
2019,19121,Madison,5-Des Moines,5-FifthJD,Physical Abuse,4,POINT (-94.0155619 41.3307142)
2019,19181,Warren,5-Des Moines,5-FifthJD,Physical Abuse,14,POINT (-93.5613594 41.3343735)
2019,19097,Jackson,3-Eastern,7-Seventh JD,Sexual Abuse,3,POINT (-90.5742294 42.1717426)
2019,19127,Marshall,2-Northern,2-Second JD,Denial of Critical Care (Neglect),204,POINT (-92.9987706 42.0358499)
2019,19029,Cass,1-Western,4-FourthJD,Physical Abuse,5,POINT (-94.9278266 41.3314876)
2019,19069,Franklin,2-Northern,2-Second JD,Sexual Abuse,2,POINT (-93.262473 42.7325458)
2019,19155,Pottawattamie,1-Western,4-FourthJD,Denial of Critical Care (Neglect),360,POINT (-95.5423935 41.3366123)
2019,19169,Story,5-Des Moines,2-Second JD,Denial of Critical Care (Neglect),245,POINT (-93.4650448 42.0362415)
2019,19143,Osceola,1-Western,3-Third JD,Allows Access by Registered Sex Offender,3,POINT (-95.6236852 43.3785704)
2019,19191,Winneshiek,2-Northern,1-First JD,Sexual Abuse,4,POINT (-91.8437074 43.2906746)
2019,19033,Cerro Gordo,2-Northern,2-Second JD,Sexual Abuse,7,POINT (-93.2608184 43.0815577)
2019,19103,Johnson,4-Cedar Rapids,6-SixthJD,Child Sex Trafficking,3,POINT (-91.5880849 41.6715511)
2019,19147,Palo Alto,1-Western,3-Third JD,Sexual Abuse,3,POINT (-94.6781371 43.0820643)
2019,19141,OBrien,1-Western,3-Third JD,Dangerous Substance,33,POINT (-95.6248784 43.0837527)
2019,19165,Shelby,1-Western,4-FourthJD,Dangerous Substance,1,POINT (-95.3102113 41.6850926)
2019,19119,Lyon,1-Western,3-Third JD,Dangerous Substance,3,POINT (-96.2102924 43.380497)
2019,19153,Polk,5-Des Moines,5-FifthJD,Allows Access by Registered Sex Offender,11,POINT (-93.5735335 41.6855048)
2019,19189,Winnebago,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),4,POINT (-93.7341955 43.3775678)
2019,19163,Scott,3-Eastern,7-Seventh JD,Mental Injury,3,POINT (-90.6232428 41.6370978)
2019,19047,Crawford,1-Western,3-Third JD,Sexual Abuse,4,POINT (-95.3819678 42.0372125)
2019,19019,Buchanan,2-Northern,1-First JD,Denial of Critical Care (Neglect),35,POINT (-91.8378392 42.4707777)
2019,19007,Appanoose,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),2,POINT (-92.8686104 40.7431635)
2019,19059,Dickinson,1-Western,3-Third JD,Physical Abuse,6,POINT (-95.1508301 43.3779848)
2019,19071,Fremont,1-Western,4-FourthJD,Sexual Abuse,1,POINT (-95.6046765 40.7455892)
2019,19027,Carroll,1-Western,2-Second JD,Allows Access to Obscene Materials,3,POINT (-94.8605593 42.0362382)
2019,19025,Calhoun,2-Northern,2-Second JD,Dangerous Substance,20,POINT (-94.6404136 42.3851848)
2019,19063,Emmet,1-Western,3-Third JD,Sexual Abuse,5,POINT (-94.6784803 43.3780225)
2019,19101,Jefferson,4-Cedar Rapids,8-Eigth JD,Denial of Critical Care (Neglect),74,POINT (-91.9488774 41.0317596)
2019,19155,Pottawattamie,1-Western,4-FourthJD,Sexual Abuse,30,POINT (-95.5423935 41.3366123)
2019,19179,Wapello,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),26,POINT (-92.4094499 41.0305845)
2019,19131,Mitchell,2-Northern,2-Second JD,Physical Abuse,4,POINT (-92.7890315 43.3564124)
2019,19033,Cerro Gordo,2-Northern,2-Second JD,Denial of Critical Care (Neglect),175,POINT (-93.2608184 43.0815577)
2019,19041,Clay,1-Western,3-Third JD,Dangerous Substance,37,POINT (-95.1509194 43.0825804)
2019,19093,Ida,1-Western,3-Third JD,Dangerous Substance,12,POINT (-95.5134962 42.3868747)
2019,19083,Hardin,2-Northern,2-Second JD,Dangerous Substance,18,POINT (-93.2404025 42.3838803)
2019,19115,Louisa,3-Eastern,8-Eigth JD,Physical Abuse,3,POINT (-91.2596184 41.2185073)
2019,19173,Taylor,1-Western,5-FifthJD,Sexual Abuse,1,POINT (-94.6964148 40.7374324)
2019,19121,Madison,5-Des Moines,5-FifthJD,Allows Access by Registered Sex Offender,1,POINT (-94.0155619 41.3307142)
2019,19045,Clinton,3-Eastern,7-Seventh JD,Dangerous Substance,102,POINT (-90.5319724 41.8980358)
2019,19167,Sioux,1-Western,3-Third JD,Denial of Critical Care (Neglect),55,POINT (-96.1778827 43.0826174)
2019,19125,Marion,5-Des Moines,5-FifthJD,Sexual Abuse,6,POINT (-93.0994367 41.3344515)
2019,19031,Cedar,3-Eastern,7-Seventh JD,Denial of Critical Care (Neglect),34,POINT (-91.1324125 41.7723207)
2019,19111,Lee,3-Eastern,8-Eigth JD,Sexual Abuse,16,POINT (-91.479264 40.6419764)
2019,19195,Worth,2-Northern,2-Second JD,Denial of Critical Care (Neglect),18,POINT (-93.2608476 43.3773984)
2019,19077,Guthrie,1-Western,5-FifthJD,Physical Abuse,3,POINT (-94.501055 41.6837548)
2019,19175,Union,5-Des Moines,5-FifthJD,Sexual Abuse,7,POINT (-94.2423792 41.0277304)
2019,19079,Hamilton,2-Northern,2-Second JD,Sexual Abuse,6,POINT (-93.7068085 42.3837722)
2019,19177,Van Buren,4-Cedar Rapids,8-Eigth JD,Sexual Abuse,12,POINT (-91.9499871 40.7532294)
2019,19161,Sac,1-Western,2-Second JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-95.1053946 42.3862604)
2019,19129,Mills,1-Western,4-FourthJD,Physical Abuse,7,POINT (-95.6213267 41.0334523)
2019,19085,Harrison,1-Western,4-FourthJD,Dangerous Substance,28,POINT (-95.8169209 41.6828528)
2019,19037,Chickasaw,2-Northern,1-First JD,Dangerous Substance,2,POINT (-92.3176637 43.0600414)
2020,19179,Wapello,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),22,POINT (-92.4094499 41.0305845)
2020,19017,Bremer,2-Northern,2-Second JD,Physical Abuse,8,POINT (-92.3180548 42.7745873)
2020,19037,Chickasaw,2-Northern,1-First JD,Physical Abuse,12,POINT (-92.3176637 43.0600414)
2020,19079,Hamilton,2-Northern,2-Second JD,Sexual Abuse,4,POINT (-93.7068085 42.3837722)
2020,19171,Tama,4-Cedar Rapids,6-SixthJD,Dangerous Substance,97,POINT (-92.5325425 42.0798117)
2020,19119,Lyon,1-Western,3-Third JD,Presence of Illegal Drugs in Child's System (PID),1,POINT (-96.2102924 43.380497)
2020,19121,Madison,5-Des Moines,5-FifthJD,Sexual Abuse,4,POINT (-94.0155619 41.3307142)
2020,19159,Ringgold,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),18,POINT (-94.2439719 40.7352023)
2020,19157,Poweshiek,4-Cedar Rapids,8-Eigth JD,Physical Abuse,2,POINT (-92.5314684 41.6864422)
2020,19031,Cedar,3-Eastern,7-Seventh JD,Dangerous Substance,23,POINT (-91.1324125 41.7723207)
2020,19105,Jones,4-Cedar Rapids,6-SixthJD,Dangerous Substance,23,POINT (-91.1314352 42.1212397)
